insee,place,lat,lon,date,tmin,tmax,rainfall
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-11-13,12.5,17.6,0.1
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-11-14,12.9,18.6,1.0
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-11-15,10.4,14.6,4.4
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-11-16,10.0,13.2,0.0
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-11-17,7.0,12.2,0.0
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-11-18,3.9,10.4,3.0
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-11-19,5.4,9.1,10.2
3528885,St Malo,48.649518,-2.0260409,2025-11-13,12.9,18.1,0.7
3528885,St Malo,48.649518,-2.0260409,2025-11-14,13.7,19.1,1.4
3528885,St Malo,48.649518,-2.0260409,2025-11-15,10.5,16.2,2.6
3528885,St Malo,48.649518,-2.0260409,2025-11-16,9.9,15.7,0.2
3528885,St Malo,48.649518,-2.0260409,2025-11-17,9.1,12.4,0.9
3528885,St Malo,48.649518,-2.0260409,2025-11-18,6.0,11.6,3.1
3528885,St Malo,48.649518,-2.0260409,2025-11-19,7.0,10.2,11.4
140470,Bayeux,49.2764624,-0.7024738,2025-11-13,13.4,16.9,0.1
140470,Bayeux,49.2764624,-0.7024738,2025-11-14,12.6,18.7,0.1
140470,Bayeux,49.2764624,-0.7024738,2025-11-15,9.1,14.4,2.0
140470,Bayeux,49.2764624,-0.7024738,2025-11-16,10.1,12.5,0.8
140470,Bayeux,49.2764624,-0.7024738,2025-11-17,8.5,11.4,2.4
140470,Bayeux,49.2764624,-0.7024738,2025-11-18,5.4,9.9,0.7
140470,Bayeux,49.2764624,-0.7024738,2025-11-19,5.1,8.5,7.0
763510,Le Havre,49.4938975,0.1079732,2025-11-13,13.1,16.6,0.1
763510,Le Havre,49.4938975,0.1079732,2025-11-14,12.0,18.5,0.5
763510,Le Havre,49.4938975,0.1079732,2025-11-15,9.4,15.6,0.8
763510,Le Havre,49.4938975,0.1079732,2025-11-16,8.5,12.9,0.0
763510,Le Havre,49.4938975,0.1079732,2025-11-17,7.1,11.2,0.8
763510,Le Havre,49.4938975,0.1079732,2025-11-18,4.6,10.2,4.9
763510,Le Havre,49.4938975,0.1079732,2025-11-19,5.1,8.6,14.4
765400,Rouen,49.4404591,1.0939658,2025-11-13,9.9,16.9,2.6
765400,Rouen,49.4404591,1.0939658,2025-11-14,10.6,17.6,0.3
765400,Rouen,49.4404591,1.0939658,2025-11-15,8.6,15.5,1.8
765400,Rouen,49.4404591,1.0939658,2025-11-16,8.5,12.9,0.0
765400,Rouen,49.4404591,1.0939658,2025-11-17,6.6,11.5,0.1
765400,Rouen,49.4404591,1.0939658,2025-11-18,3.0,10.1,0.7
765400,Rouen,49.4404591,1.0939658,2025-11-19,4.5,8.6,7.2
751050,Paris,48.8534951,2.3483915,2025-11-13,11.1,17.0,0.0
751050,Paris,48.8534951,2.3483915,2025-11-14,12.5,17.6,0.0
751050,Paris,48.8534951,2.3483915,2025-11-15,12.1,14.4,3.7
751050,Paris,48.8534951,2.3483915,2025-11-16,9.1,12.6,0.0
751050,Paris,48.8534951,2.3483915,2025-11-17,7.1,10.5,0.1
751050,Paris,48.8534951,2.3483915,2025-11-18,3.6,9.1,0.0
751050,Paris,48.8534951,2.3483915,2025-11-19,4.1,8.4,2.6
800210,Amiens,49.8941708,2.2956951,2025-11-13,12.0,16.5,0.0
800210,Amiens,49.8941708,2.2956951,2025-11-14,10.5,16.7,0.3
800210,Amiens,49.8941708,2.2956951,2025-11-15,8.9,15.1,0.0
800210,Amiens,49.8941708,2.2956951,2025-11-16,7.1,10.4,0.0
800210,Amiens,49.8941708,2.2956951,2025-11-17,5.5,10.2,0.0
800210,Amiens,49.8941708,2.2956951,2025-11-18,2.2,9.1,0.9
800210,Amiens,49.8941708,2.2956951,2025-11-19,3.6,7.2,6.2
593500,Lille,50.6365654,3.0635282,2025-11-13,11.9,15.9,0.8
593500,Lille,50.6365654,3.0635282,2025-11-14,11.1,16.5,0.3
593500,Lille,50.6365654,3.0635282,2025-11-15,9.5,13.7,0.0
593500,Lille,50.6365654,3.0635282,2025-11-16,6.6,8.6,0.0
593500,Lille,50.6365654,3.0635282,2025-11-17,5.7,10.7,0.3
593500,Lille,50.6365654,3.0635282,2025-11-18,3.7,8.4,0.3
593500,Lille,50.6365654,3.0635282,2025-11-19,4.0,8.1,3.8
674820,Strasbourg,48.584614,7.7507127,2025-11-13,5.5,18.2,0.0
674820,Strasbourg,48.584614,7.7507127,2025-11-14,7.4,14.6,0.0
674820,Strasbourg,48.584614,7.7507127,2025-11-15,9.1,14.7,4.8
674820,Strasbourg,48.584614,7.7507127,2025-11-16,8.4,13.2,4.9
674820,Strasbourg,48.584614,7.7507127,2025-11-17,6.6,10.4,3.3
674820,Strasbourg,48.584614,7.7507127,2025-11-18,2.1,6.6,0.0
674820,Strasbourg,48.584614,7.7507127,2025-11-19,1.0,7.4,0.4
682800,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-11-13,4.0,18.1,0.0
682800,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-11-14,5.4,15.7,0.0
682800,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-11-15,8.7,15.2,4.0
682800,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-11-16,6.7,12.7,5.7
682800,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-11-17,5.9,9.6,3.1
682800,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-11-18,0.4,6.1,0.0
682800,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-11-19,-0.6,7.4,0.4
680660,Colmar,48.0777517,7.3579641,2025-11-13,6.1,19.0,0.0
680660,Colmar,48.0777517,7.3579641,2025-11-14,9.1,17.6,0.0
680660,Colmar,48.0777517,7.3579641,2025-11-15,9.5,16.1,4.0
680660,Colmar,48.0777517,7.3579641,2025-11-16,7.2,13.5,7.1
680660,Colmar,48.0777517,7.3579641,2025-11-17,5.6,9.6,5.0
680660,Colmar,48.0777517,7.3579641,2025-11-18,0.1,6.6,0.0
680660,Colmar,48.0777517,7.3579641,2025-11-19,-0.9,8.4,0.4
680780,Eguisheim,48.0447968,7.3079618,2025-11-13,7.4,18.6,0.0
680780,Eguisheim,48.0447968,7.3079618,2025-11-14,8.2,18.0,0.0
680780,Eguisheim,48.0447968,7.3079618,2025-11-15,9.1,15.6,3.9
680780,Eguisheim,48.0447968,7.3079618,2025-11-16,7.1,14.0,7.1
680780,Eguisheim,48.0447968,7.3079618,2025-11-17,4.5,9.9,5.0
680780,Eguisheim,48.0447968,7.3079618,2025-11-18,-0.4,6.5,0.0
680780,Eguisheim,48.0447968,7.3079618,2025-11-19,-1.0,8.5,0.4
